poste,entreprise,ville
AUDITEUR SÉCURITÉ IT,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
"INGÉNIEUR GOUVERNANCE, RISQUE ET CONFORMITÉ SÉCURITÉ",Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
Chef de Projet Senior SAP S/4HANA – Business One (H/F),YESHI GROUP,Côte d'ivoire
INGENIEUR SENIOR INTEGRATION ET DEVOPS,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
ADMINISTRATEUR RESEAU SENIOR,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
GESTIONNAIRE D’APPLICATIONS & PATRIMOINE APPLICATIF SENIOR,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
CHEF DE SERVICE PRODUCTION SECURITÉ (PRODSEC)  & SECURITÉ OPERATIONELLE (SECOPS),Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
ADMINISTRATEUR RESEAU SENIOR,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
01 ASSISTANT(E) DE DIRECTION,BOA CI,"Abidjan, Côte d'ivoire"
ACADEMIE DES TALENTS - DIGITAL ACADEMY BNI,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
TECHNICIENS DE LABORATOIRE (H/F),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
INGENIEUR SENIOR INTEGRATION ET DEVOPS,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
MAGASINIER PR,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
TECHNICIEN DE FABRICATION,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
"ARCHITECTE FONCTIONNEL, TECHNIQUE ET SECURITE",Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
INGENIEUR DEVELOPPEUR SENIOR,Banque Nationale d'Investissement (BNI),"Abidjan, Côte d'ivoire"
Magasinier H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
Agent Administratif et Paie,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
ELECTROMECANICIENS (H/F),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
Commerciaux Terrain – Développement & Prospection B2B/B2C,GBVIM,Côte d'ivoire
MAGASINIERS PDR (H/F),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
Assistant(e) Marketing Stagiaire,GROUP OLRA1,Côte d'ivoire
"Conseiller. ère technique Junior HCD/Genre et PSD (EDUCATION ET JEUNESSE /focus GENRE, EGALITE)_Bd3 à Abidjan",Giz Côte d'Ivoire,"Abidjan, Côte d'ivoire"
Conseiller.ère Technique _ Politique Economique  / Projet PROREI à Abidjan,Giz Côte d'Ivoire,"Abidjan, Côte d'ivoire"
Chef(fe) de la Division Administration et Ressources Humaines,WEST AFRICAN POWER POOL,Bénin...
Chef(fe) de la Division Comptabilité et Finances,WEST AFRICAN POWER POOL,Bénin...
Head of Division Administration and Human Resources,WEST AFRICAN POWER POOL,Bénin...
Head of Division Accounting and Finance,WEST AFRICAN POWER POOL,Bénin...
ELECTRICIEN,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
TECHNICIEN METHODE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
AUTOMATICIEN,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
INSTRUMENTISTE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
INGENIEURS MAINTENANCE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire"
Opérateur machine H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
Technicien Méthode usine H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
Responsable Boutique et Point de vente,YESHI GROUP,"Abidjan, Côte d'ivoire"
Stagiaire en Ressources Humaines,BOA CI,"Abidjan, Côte d'ivoire"
ELECTROMECANICIEN DES SERVICES GENERAUX F/H,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
TECHNICIEN LABORATOIRE ( H/F),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire"
Un(e) Responsable Marketing et Partenariats,YELAM'S CREATIVE,Côte d'ivoire
